filename,label,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
008__[cel][nod][cla]0058__1.wav,cel,-548.2993,189.76556,-21.121988,15.259335,18.991768,16.186731,-1.0312041,-5.983769,-2.8859642,-7.871248,-3.1927235,-0.56425375,1.1596206,-0.2872162,-1.0510633,2.5583615,7.0089355,9.611934,6.723992,2.8925016
008__[cel][nod][cla]0058__2.wav,cel,-492.25302,180.43597,-30.720634,16.48826,7.242813,15.498132,-5.7030554,0.039674338,6.1212335,2.203334,4.937367,-3.7749636,-4.9763384,-5.9857316,-12.421291,-7.7085223,-5.190786,0.197547,10.872709,21.063337
008__[cel][nod][cla]0058__3.wav,cel,-445.287,170.88661,-36.930515,13.339684,2.7630186,15.562643,-6.049806,-6.2214804,-3.6921906,-7.94846,0.937475,-1.1299808,0.3038125,2.1440616,3.028069,4.6921253,1.3155766,-4.312213,-6.9507647,-1.1986866
012__[cel][nod][cla]0043__1.wav,cel,-370.56335,182.48265,-35.70128,31.877964,1.9295138,20.379725,-10.143896,2.6195438,-9.367083,1.4370897,-4.9542613,-3.4595208,-4.0168476,-2.5425398,2.5159185,3.3373094,-1.4052482,-2.1977534,0.09768948,-1.3997356
012__[cel][nod][cla]0043__2.wav,cel,-359.07788,171.01855,-36.20829,24.581501,-6.047874,18.534256,-11.615797,3.6299968,-7.10456,3.7365534,-0.709438,-2.380702,-7.2004876,-5.4004297,2.2233808,5.510553,1.1546412,3.9530783,4.1566753,3.527656
012__[cel][nod][cla]0043__3.wav,cel,-340.98248,155.5558,-40.73852,20.810192,-6.841434,19.850992,-14.140075,4.3147197,-9.264029,4.6390743,-2.4850495,1.546288,-3.847815,-1.7363875,0.09790463,7.7277784,1.4000753,-0.9422002,-1.8402439,0.89855057
013__[cel][nod][cla]0025__1.wav,cel,-338.71738,167.28346,-18.846521,17.973475,53.186146,-9.411875,12.319642,-0.79118717,-15.013922,4.949845,-19.539764,13.216772,-13.57519,8.051464,-9.946023,5.4278207,-5.554792,12.404772,5.18711,14.555067
013__[cel][nod][cla]0025__2.wav,cel,-343.52432,175.07333,-8.520679,7.831068,38.44068,-11.989897,7.1245246,-7.7422442,-19.74061,0.6220389,-24.547104,12.729609,-14.894182,4.1474476,-17.379126,-1.7140253,-14.378894,0.61311865,-5.7993793,6.59311
013__[cel][nod][cla]0025__3.wav,cel,-326.9594,167.77864,-28.924202,2.2772164,45.426834,-14.297809,5.544884,-7.808848,-20.447876,-1.9609902,-21.764013,13.0643215,-13.701979,1.4371115,-12.565971,3.2556639,-14.177831,0.39584127,-2.8287764,7.879884
014__[cel][nod][cla]0041__1.wav,cel,-315.09924,163.71564,-30.981695,24.176708,0.78124106,19.211863,-13.26955,1.6894109,-13.530846,0.69321656,-5.8270063,-0.46814352,-4.9393864,-3.5995264,0.48288375,3.6567745,-3.5522974,-6.1180496,-0.9182285,-4.8323874
014__[cel][nod][cla]0041__2.wav,cel,-353.013,192.55408,-12.950644,25.709105,7.8146462,18.23597,-4.7330947,3.0116186,-3.6234584,6.8201776,0.9034976,0.21353522,-1.9729166,-0.9728027,-0.6137232,0.094251715,-0.46295813,-0.67851037,2.6644678,-3.5348098
014__[cel][nod][cla]0041__3.wav,cel,-333.82367,163.87436,-31.847506,32.147068,7.561625,23.983618,-9.184302,6.0601683,-7.778439,6.2156286,2.2078173,1.7786232,-4.5634317,-4.386318,-1.5039577,5.9272604,1.3086158,-2.07695,1.7502934,-3.305295
027__[cel][nod][cla]0027__1.wav,cel,-291.81177,198.17365,-55.290195,21.243214,44.124794,-11.394009,-5.484708,-12.637159,-12.902827,-0.5183664,-8.2795315,-2.3863945,-5.0468674,-1.2096454,-2.046696,-7.121582,-7.6028686,-1.8252974,1.5990719,5.4863954
027__[cel][nod][cla]0027__2.wav,cel,-313.9953,195.2074,-55.253635,32.133255,46.718273,-6.837,-3.3284204,-17.130095,-19.13114,-1.8590139,-12.894443,1.0425718,-5.4706154,4.1105847,-3.29047,-2.070834,-7.074979,-6.238244,-0.67535764,9.989963
027__[cel][nod][cla]0027__3.wav,cel,-317.52426,192.74846,-49.209934,30.130766,52.762165,-0.37180904,1.3047178,-13.038212,-11.277346,4.325342,-5.5087466,2.6853619,-5.2208877,4.9743314,-1.3619747,-1.480295,-2.7942834,-0.664676,-7.5215178,-10.862178
031__[cel][nod][cla]0020__1.wav,cel,-490.23416,157.88359,-30.046087,10.684781,-2.0476394,5.8046722,-3.745604,0.41165566,-3.3649113,-3.4906871,-2.6470883,-5.1871734,-6.9519334,-8.515874,-11.431822,-8.546183,-9.019914,-6.9021077,-8.376497,-6.166092
031__[cel][nod][cla]0020__2.wav,cel,-416.12555,161.05681,-43.740715,19.541212,-6.4490747,12.860602,-8.014484,1.0759143,-7.5016603,-6.594157,-5.0103183,-9.462844,-11.727758,-12.440715,-9.848455,-4.8180504,-5.2072997,-5.5309834,0.8440402,6.3451986
031__[cel][nod][cla]0020__3.wav,cel,-415.67154,167.26912,-35.36889,14.596645,2.2713652,6.6565742,-4.442403,-6.3775516,-10.252593,-14.148638,-3.448658,-9.949537,-14.681383,-14.712713,-9.9911375,-7.401255,-7.7653394,-9.971156,-8.063652,-6.0998225
032__[cel][nod][cla]0033__1.wav,cel,-326.19315,175.91747,-24.757614,13.330508,-0.2778181,11.861554,-13.636557,0.6699182,-3.9315653,-5.016588,1.6696662,-2.7952602,-7.753454,-8.966713,-13.359645,-8.622482,-3.2563963,-1.1097654,7.383645,7.572661
032__[cel][nod][cla]0033__2.wav,cel,-287.5389,185.82843,-21.45721,14.45532,-0.8247391,12.332607,-17.668251,-0.05612053,-6.2981787,-2.185872,-2.6459367,-9.279179,-12.238,-9.56309,-10.363594,-10.030645,-5.347196,-2.0729554,6.3503785,3.3233604
032__[cel][nod][cla]0033__3.wav,cel,-275.13492,172.48225,-33.05667,18.053734,-0.92676795,8.306842,-17.62123,-4.1309643,-10.949285,-10.0612135,-8.456112,-12.933343,-14.093761,-11.284058,-7.3756804,-4.7705154,0.17395927,0.22735243,2.0456872,1.1740528
033__[cel][nod][cla]0031__1.wav,cel,-281.33444,154.0658,-28.90897,25.850176,-3.329046,13.241797,-19.893623,-1.3725013,-11.223586,-4.566577,-1.4665323,-4.9497414,-13.054616,-6.970658,-9.7128935,-2.4779217,6.5955443,11.399691,12.581258,7.263787
033__[cel][nod][cla]0031__2.wav,cel,-281.0784,196.48955,-30.98428,24.15683,1.1885313,16.712938,-17.05374,10.7409315,-5.0400453,4.504883,1.4811373,2.3624668,-6.136451,-2.3881712,-8.485553,-10.05472,-3.1353502,-1.5258219,-1.7856667,-7.865029
